"bpid","chnname","korname","family_clan","birth","death","plastic"
"G002+AKS-KHF_12AC15ACB8FFFFD1504X0","姜謙","강겸","진주(晉州)",,1504,"silver"
"G002+AKS-KHF_13BC15ACB8BB34U9999X0","朴兼武","박겸무","죽산(竹山)",,,"silver"
"G002+AKS-KHF_13C724CD98B144B1514X0","尹春年","윤춘연","파평(坡平)",1514,1567,"silver"
"G002+AKS-KHF_13C870AD11C6D0B1492X0","曺光遠","조광원","창녕(昌寧)",1492,1573,"plastic"
"G002+AKS-KHF_13AC15C120ACBDB1540X0","姜先慶","강선경","진주(晉州)",1540,,"silver"
"G002+AKS-KHF_13AD6CC2E0CDA9U9999X0","具信忠","구신충","능성(綾城)",,,"silver"
"G002+AKS-KHF_13BC15AE30C218B1792X0","朴岐壽","박기수","반남(潘南)",1792,1847,"silver"
"G002+AKS-KHF_13C784BC31ACBDB1800X0","任百經","임백경","풍천(豊川)",1800,1864,"silver"
"G002+AKS-KHF_13C774C815AE30B1789X0","李正耆","이정기","한산(韓山)",1789,1846,"silver"
"G002+AKS-KHF_13C1A1C2DCD568B1687X0","宋時涵","송시함","진천(鎭川)",1687,1756,"plastic"
"G002+AKS-KHF_13C2E0C0ACC9C1B1746X0","愼師稷","신사직","거창(居昌)",1746,,"plastic"
"G002+AKS-KHF_13C815C6B0B7C9B1692X0","鄭羽良","정우양","영일(迎日)",1692,1754,"silver"
"G002+AKS-KHF_12C815C801FFFFB1447X0","鄭積","정적","하동(河東)",1447,,"silver"
"G002+AKS-KHF_13C704CC3DC870B1703X0","魏昌祖","위창조","장흥(長興)",1703,1759,"silver"
"G002+AKS-KHF_13C11CC720C21CB1768X0","徐有恂","서유순","대구(大丘)",1768,1813,"silver"
"G002+AKS-KHF_13AE40CC9CC11CB1676X0","金天叙","김천서","안동(安東[新])",1676,,"silver"
"G002+AKS-KHF_13BC15C774B3C4B1825X0","朴履道","박이도","고령(高靈)",1825,,"silver"
"G002+AKS-KHF_13AE40ADF9D54DB1472X0","金克愊","김극핍","광산(光山)",1472,1531,"silver"
"G002+AKS-KHF_13C2ECB3D9D5CCB1834X0","沈東獻","심동헌","청송(靑松)",1834,,"silver"
"G002+AKS-KHF_13C11CC0C1C9C0B1827X0","徐相至","서상지","대구(大丘)",1827,,"silver"
"G002+AKS-KHF_13C774C9C0D615B1598X1","李之馨","이지형","공주(公州)",1598,,"plastic"
"G002+AKS-KHF_13AE40CE58D604U9999X0","金致賢","김치현","양산(梁山)",,,"plastic"
"G002+AKS-KHF_12C815D638FFFFB1648X0","鄭澔","정호","영일(迎日)",1648,1736,"silver"
"G002+AKS-KHF_13C784D76CC7ACB1472X0","任熙載","임희재","풍천(豊川)",1472,1504,"silver"
"G002+AKS-KHF_13C870C720C120B1599X0","趙裕善","조유선","한양(漢陽)",1599,,"silver"
"G002+AKS-KHF_12C720C758FFFFB1734X0","柳誼","유의","전주(全州)",1734,,"silver"
"G002+AKS-KHF_13C774BBFCD76CB1807X0","李民熙","이민희","성산(星山)",1807,1862,"silver"
"G002+AKS-KHF_13C11CACBDBCF4B1771X0","徐耕輔","서경보","대구(大丘)",1771,1839,"silver"
"G002+AKS-KHF_13C2ECD765C601B1739X0","沈興永","심흥영","청송(靑松)",1739,1799,"silver"
"G002+AKS-KHF_13AE40B178BC94B1759X0","金魯範","김노범","김해(金海)",1759,,"silver"
"G002+AKS-KHF_13C774C0BCC131B1564X0","李三省","이삼성","광평(廣平)",1564,1624,"plastic"
"G002+AKS-KHF_12C774D638FFFFB1609X0","李鄗","이호","전의(全義)",1609,,"silver"
"G002+AKS-KHF_13C774BCD1C704B1826X0","李秉緯","이병위","광주(廣州)",1826,,"plastic"
"G002+AKS-KHF_13C774BCD1D559B1837X0","李秉鶴","이병학","거창(居昌)",1837,,"plastic"
"G002+AKS-KHF_12C774B798FFFFB1603X0","李䅘","이내","덕수(德水)",1603,,"silver"
"G002+AKS-KHF_13B0A8AD81CE68B1513X0","南宮忱","남궁침","함열(咸悅)",1513,1573,"silver"
"G002+AKS-KHF_13C815C775D558B1688X0","鄭益河","정익하","영일(迎日)",1688,1758,"silver"
"G002+AKS-KHF_13C815D64DACBDB1768X0","鄭鴻慶","정홍경","초계(草溪)",1768,,"silver"
"G002+AKS-KHF_12C724C12CFFFFB1561X0","尹暹","윤섬","남원(南原)",1561,1592,"silver"
"G002+AKS-KHF_13C774C778BB38B1425X0","李仁文","이인문","연안(延安)",1425,,"silver"
"G002+AKS-KHF_13C724D615C9C0B1604X0","尹衡志","윤형지","남원(南原)",1604,1634,"silver"
"G002+AKS-KHF_13C2ECC0C1C5F4B1841X0","沈相說","심상열","청송(靑松)",1841,,"plastic"
"G002+AKS-KHF_13AE40BCF5C131B1842X0","金復性","김복성","청풍(淸風)",1842,,"plastic"
"G002+AKS-KHF_13C548ADC0D760U9999X0","安貴欽","안귀흠","죽산(竹山[舊])",,,"plastic"
"G002+AKS-KHF_13C774D76CB77DU9999X0","李希洛","이희낙","수원(水原)",,,"plastic"
"G002+AKS-KHF_13AE40C774C8FCB1730X0","金頤柱","김이주","경주(慶州)",1730,1797,"silver"
"G002+AKS-KHF_13ACE0C6A9D6C4B1577X0","高用厚","고용후","장흥(長興)",1577,,"silver"
"G002+AKS-KHF_13C815C778ACBDU9999X0","鄭仁炯","정인형","봉화(奉化)",,,"silver"
"G002+AKS-KHF_13C6D0ACC4CC44B1492X0","元繼蔡","원계채","원주(原州)",1492,1539,"silver"
"G002+AKS-KHF_12C774C6B0FFFFB1697X0","李堣","이우","덕수(德水)",1697,,"silver"
"G002+AKS-KHF_13C5ECC751AD6CB1523X0","呂應龜","여응귀","성산(星山)",1523,1577,"silver"
"G002+AKS-KHF_13AE40C11DB82CB1836X0","金奭烈","김석열","김해(金海)",1836,,"plastic"
"G002+AKS-KHF_13C131D76CC548B1461X0","成希顔","성희안","창녕(昌寧)",1461,1513,"silver"
"G002+AKS-KHF_12B0A8AE30FFFFU9999X0","南䄎","남기","의령(宜寧)",,,"silver"
"G002+AKS-KHF_13C774C0C1D559B1846X0","李尙鶴","이상학","경주(慶州)",1846,,"plastic"
"G002+AKS-KHF_13BAA9CCA0ACBDB1440X0","睦哲卿","목철경","사천(泗川)",1440,1504,"silver"
"G002+AKS-KHF_13AE40BB38C81CB1846X0","金文濟","김문제","경주(慶州)",1846,,"silver"
"G002+AKS-KHF_13C548D76CC6D0B1846X0","安禧遠","안희원","광주(廣州)",1846,1919,"silver"
"G002+AKS-KHF_13AE40B355B8E1B1518X0","金德龍","김덕용","안동(安東[舊])",1518,,"silver"
"G002+AKS-KHF_13C784AE30C6D0B1842X0","任基元","임기원","곡성(谷城)",1842,,"plastic"
"G002+AKS-KHF_13D64DADF9D638B1731X0","洪克浩","홍극호","풍산(豊山)",1731,,"silver"
"G002+AKS-KHF_12AE40C2ECFFFFB1445X0","金諶","김심","연안(延安)",1445,1502,"silver"
"G002+AKS-KHF_13C815C6B4AE30B1836X0","鄭雲琦","정운기","영일(迎日)",1836,,"silver"
"G002+AKS-KHF_13C774C21CC778B1533X0","李純仁","이순인","전의(全義)",1533,1592,"silver"
"G002+AKS-KHF_13C6B0D558C190U9999X0","禹賀孫","우하손","단양(丹陽)",,,"silver"
"G002+AKS-KHF_13C2E0AD11B9ACB1727X0","申光履","신광이","평산(平山)",1727,,"silver"
"G002+AKS-KHF_13CD5CBCF5B798B1816X0","崔復來","최복내","전주(全州)",1816,,"plastic"
"G002+AKS-KHF_13C2E0C57DCD94B1733X0","申若樞","신약추","고령(高靈)",1733,,"plastic"
"G002+AKS-KHF_13BC15C601C81CB1816X0","朴榮濟","박영제","밀양(密陽)",1816,,"plastic"
"G002+AKS-KHF_13D64DC778D55CB1722X0","洪麟漢","홍인한","풍산(豊山)",1722,1776,"silver"
"G002+AKS-KHF_13BBFCBCF4C775D1497X0","閔輔翼","민보익","여흥(驪興)",,1497,"silver"
"G002+AKS-KHF_12AE40C720FFFFB1653X0","金楺","김유","청풍(淸風)",1653,1719,"silver"
"G002+AKS-KHF_13C774B2ECD604B1845X0","李達賢","이달현","연안(延安)",1845,,"plastic"
"G002+AKS-KHF_13C11CAD6CC5F0U9999X0","徐九淵","서구연","대구(大丘)",,,"plastic"
"G002+AKS-KHF_13C548CC98D568B1488X0","安處諴","안처함","순흥(順興)",1488,1543,"silver"
"G002+AKS-KHF_13BC15C885C8FCB1591X0","朴宗胄","박종주","고령(高靈)",1591,1623,"silver"
"G002+AKS-KHF_13C720C131BAA8B1724X0","柳成模","유성모","문화(文化)",1724,,"silver"
"G002+AKS-KHF_12C7A5AC74FFFFB1519X0","張健","장건","흥덕(興德)",1519,,"silver"
"G002+AKS-KHF_12C2E0C5F0FFFFU9999X1","申淵","신연","고령(高靈)",,,"silver"
"G002+AKS-KHF_13C548C5ECAE30B1637X0","安汝器","안여기","죽산(竹山[新])",1637,1694,"plastic"
"G002+AKS-KHF_13C724C9C0D615U9999X0","尹之亨","윤지형","무송(茂松)",,,"silver"
"G002+AKS-KHF_13C5ECACC4C8FCB1686X0","呂啓周","여계주","함양(咸陽)",1686,,"silver"
"G002+AKS-KHF_13C815C874C911B1721X0","鄭存中","정존중","동래(東萊)",1721,1798,"silver"
"G002+AKS-KHF_13D669AC70C815B1531X0","黃居正","황거정","평해(平海)",1531,,"plastic"
"G002+AKS-KHF_13C784D6A8D5CCB1784X0","林孝憲","임효헌","옥야(沃野)",1784,,"plastic"
"G002+AKS-KHF_13C720C9C0C591B1733X0","柳知養","유지양","전주(全州)",1733,,"silver"
"G002+AKS-KHF_13C724C0C1BC31B1701X0","尹尙白","윤상백","파평(坡平)",1701,,"silver"
"G002+AKS-KHF_13C774D68CC6D0B1609X0","李會源","이회원","전의(全義)",1609,1671,"silver"
"G002+AKS-KHF_13C774C6D0C131U9999X0","李元成","이원성","광주(廣州)",,,"plastic"
"G002+AKS-KHF_13C720C0ACADDCB1534X0","柳思規","유사규","진주(晉州[移])",1534,1607,"silver"
"G002+AKS-KHF_13AE40ACC4B77DB1753X0","金啓洛","김계낙","강릉(江陵)",1753,1815,"silver"
"G002+AKS-KHF_13C774C911CE60B1846X0","李重七","이중칠","전주(全州)",1846,,"silver"
"G002+AKS-KHF_13AE40B3D9D544B1678X0","金東弼","김동필","상산(商山)",1678,1737,"silver"
"G002+AKS-KHF_13B0A8AD81D65CB1543X0","南宮活","남궁활","함열(咸悅)",1543,,"silver"
"G002+AKS-KHF_12C774AD6CFFFFB1469X0","李龜","이귀","경주(慶州)",1469,1526,"silver"
"G002+AKS-KHF_13BC15C131D55CB1763X0","朴聲漢","박성한","음성(陰城)",1763,,"plastic"
"G002+AKS-KHF_13D55CB355BD80B1705X0","韓德孚","한덕부","청주(淸州)",1705,,"silver"
"G002+AKS-KHF_13AD8CD55CC704B1743X0","權漢緯","권한위","안동(安東)",1743,,"plastic"
"G002+AKS-KHF_12C774ADDCFFFFU9999X5","李樛","이규","부평(富平)",,,"plastic"
"G002+AKS-KHF_12C720C5C5FFFFB1575X0","柳𢢜","유업","전주(全州)",1575,1612,"silver"
"G002+AKS-KHF_13AE40C57DAD6CB1702X0","金若龜","김약귀","김해(金海)",1702,,"plastic"
"G002+AKS-KHF_13C774C11DC8FCB1827X0","李錫宙","이석주","전주(全州)",1827,,"plastic"
"G002+AKS-KHF_13BC15BB38D615B1588X0","朴文泂","박문형","충주(忠州)",1588,,"silver"
"G002+AKS-KHF_13CD5CC911D64DB1466X0","崔重洪","최중홍","화순(和順)",1466,1533,"silver"
"G002+AKS-KHF_13C1A1C724C9C0U9999X0","宋允智","송윤지","연안(延安)",,,"plastic"
"G002+AKS-KHF_13C774B3C8C0C1B1815X0","李敦相","이돈상","용인(龍仁)",1815,,"silver"
"G002+AKS-KHF_13BC15BB38D604B1798X0","朴文鉉","박문현","순천(順天)",1798,1875,"plastic"
"G002+AKS-KHF_12C720B3D9FFFFB1722X0","柳侗","유동","진주(晉州[移])",1722,,"silver"
"G002+AKS-KHF_13C548C11CC6B0B1664X0","安瑞羽","안서우","광주(廣州)",1664,1735,"silver"
"G002+AKS-KHF_13AE40D55CC6B4B1680X0","金翰運","김한운","안동(安東[舊])",1680,,"silver"
"G002+AKS-KHF_13D64DCCA0C8FCB1834X0","洪澈周","홍철주","풍산(豊山)",1834,,"silver"
"G002+AKS-KHF_13C774C2B9AC74B1452X0","李承健","이승건","우봉(牛峰)",1452,1502,"silver"
"G002+AKS-KHF_13CD5CD56DC81CB1649X0","崔恒齊","최항제","전주(全州)",1649,,"silver"
"G002+AKS-KHF_12C724ACF5FFFFB1574X0","尹珙","윤공","해평(海平)",1574,1617,"silver"
"G002+AKS-KHF_13AE40C548C138B1477X0","金安世","김안세","연안(延安)",1477,1518,"silver"
"G002+AKS-KHF_13BBFCC8FCD55CB1631X0","閔周翰","민주한","여흥(驪興)",1631,1680,"silver"
"G002+AKS-KHF_13BCC0BCF5C77CB1598X0","邊復一","변복일","원주(原州)",1598,,"silver"
"G002+AKS-KHF_13D669C721C6B4U9999X0","黃六雲","황육운","창원(昌原)",,,"plastic"
"G002+AKS-KHF_13D64DACC4C815B1471X0","洪係貞","홍계정","남양(南陽[唐])",1471,1514,"silver"
"G002+AKS-KHF_13C774C2DCC9C1B1572X0","李時稷","이시직","연안(延安)",1572,1637,"silver"
"G002+AKS-KHF_13C1A1C778AE09U9999X0","宋仁及","송인급","여산(礪山)",,1608,"silver"
"G002+AKS-KHF_12C774D638FFFFB1596X0","李皞","이호","신평(新平)",1596,1656,"plastic"
"G002+AKS-KHF_13B0A8C751B8E1B1514X0","南應龍","남응용","의령(宜寧)",1514,1555,"silver"
"G002+AKS-KHF_13C815D654C11DB1734X0","鄭華錫","정화석","동래(東萊)",1734,1816,"plastic"
"G002+AKS-KHF_12AC15C9D1FFFFU9999X0","姜諿","강집","진주(晉州)",,,"silver"
"G002+AKS-KHF_13AE40C81CACB8B1680X0","金濟謙","김제겸","안동(安東[新])",1680,1722,"silver"
"G002+AKS-KHF_13CC44C77CC0C1B1748X0","蔡一祥","채일상","인천(仁川)",1748,,"plastic"
"G002+AKS-KHF_13C724B4DDB9F9B1715X0","尹得孟","윤득맹","해평(海平)",1715,,"silver"
"G002+AKS-KHF_13C815C9C0ACBDB1586X0","鄭之經","정지경","동래(東萊)",1586,1634,"silver"
"G002+AKS-KHF_13C774C218C0B0U9999X0","李壽山","이수산","원주(原州[舊])",,,"plastic"
"G002+AKS-KHF_13C774AD6CC775B1827X0","李九翼","이구익","연안(延安)",1827,,"silver"
"G002+AKS-KHF_12C774C6B0FFFFB1432X0","李堣","이우","한산(韓山)",1432,1467,"silver"
"G002+AKS-KHF_13C870C815C11CU9999X1","趙廷瑞","조정서","양주(楊州)",,,"silver"
"G002+AKS-KHF_13C774C77CC0C1B1612X0","李一相","이일상","연안(延安)",1612,1666,"silver"
"G002+AKS-KHF_12CD5CBC18FFFFB1649X0","崔鎜","최반","수원(水原)",1649,,"silver"
"G002+AKS-KHF_13C774C885BC31B1699X0","李宗白","이종백","경주(慶州)",1699,1759,"silver"
"G002+AKS-KHF_13AE40C0C1B9B0B1711X0","金尙麟","김상인","수원(水原)",1711,,"plastic"
"G002+AKS-KHF_13AC15C0ACC548B1523X0","姜士安","강사안","진주(晉州)",1523,,"silver"
"G002+AKS-KHF_13BC15C900C6B0B1817X0","朴浚愚","박준우","고령(高靈)",1817,,"silver"
"G002+AKS-KHF_13C774C900B3C4B1532X0","李遵道","이준도","전주(全州)",1532,1585,"silver"
"G002+AKS-KHF_13C548D5CCADDCB1598X0","安獻規","안헌규","광주(廣州)",1598,1641,"silver"
"G002+AKS-KHF_13C774ACC4C804B1404X0","李季甸","이계전","한산(韓山)",1404,1459,"silver"
"G002+AKS-KHF_13C774D68CC218B1744X0","李會遂","이회수","전주(全州)",1744,,"silver"
"G002+AKS-KHF_13C724B2ECC2E0U9999X0","尹達莘","윤달신","여주(驪州)",,,"plastic"
"G002+AKS-KHF_13BC30C219AE30U9999X0","裵淑綺","배숙기","달성(達城)",,,"plastic"
"G002+AKS-KHF_13D55CB355D6C4B1680X0","韓德厚","한덕후","곡산(谷山)",1680,,"silver"
"G002+AKS-KHF_13C774C11DC81CB1729X0","李奭濟","이석제","전의(全義)",1729,1795,"plastic"
"G002+AKS-KHF_13BBFCBCD1C11DB1858X0","閔丙奭","민병석","여흥(驪興)",1858,1940,"silver"
"G002+AKS-KHF_13C2ECC77CC900B1590X0","沈日遵","심일준","풍산(豊山)",1590,,"plastic"
"G002+AKS-KHF_12AE40B2F9FFFFB1786X0","金榶","김당","수원(水原)",1786,,"plastic"
"G002+AKS-KHF_13BAA8C138BC88B1640X0","牟世蕃","모세번","함평(咸平)",1640,,"plastic"
"G002+AKS-KHF_12CD5CD669FFFFB1539X0","崔韹","최황","강릉(江陵)",1539,,"silver"
"G002+AKS-KHF_13C624C11DD574B1649X0","吳錫海","오석해","해주(海州)",1649,1693,"plastic"
"G002+AKS-KHF_13D64DC11DBC29B1508X0","洪碩舫","홍석방","남양(南陽[唐])",1508,,"silver"
"G002+AKS-KHF_13C774C131B85DB1559X0","李成祿","이성녹","전주(全州)",1559,,"silver"
"G002+AKS-KHF_13C548C775D48DB1830X0","安翊豊","안익풍","순흥(順興)",1830,1906,"plastic"
"G002+AKS-KHF_13B178C724C911B1718X0","盧允中","노윤중","교하(交河)",1718,,"silver"
"G002+AKS-KHF_12D669B150FFFFU9999X0","黃恬","황염","장수(長水)",,,"silver"
"G002+AKS-KHF_13C774C21CC545B1632X0","李舜岳","이순악","전주(全州)",1632,,"plastic"
"G002+AKS-KHF_13AE40BCF5C77CB1541X0","金復一","김복일","의성(義城)",1541,1591,"silver"
"G002+AKS-KHF_12C724D615FFFFU9999X0","尹衡","윤형","남원(南原)",,,"silver"
"G002+AKS-KHF_13C815C885C18CU9999X0","鄭從韶","정종소","영일(迎日)",,,"silver"
"G002+AKS-KHF_13C870C720C131B1526X0","趙惟誠","조유성","순창(淳昌)",1526,1575,"plastic"
"G002+AKS-KHF_13BBFCC120D638B1848X0","閔善鎬","민선호","여흥(驪興)",1848,1877,"silver"
"G002+AKS-KHF_13C774D615C6D0B1576X0","李馨遠","이형원","성주(星州)",1576,1632,"silver"
"G002+AKS-KHF_13C774D568B155B1437X0","李咸寧","이함영","성주(星州)",,1437,"silver"
"G002+AKS-KHF_13C1A1AD11C815B1556X0","宋光庭","송광정","야로(冶爐)",1556,1607,"silver"
"G002+AKS-KHF_13C774C9C0AC15B1553X0","李之綱","이지강","전주(全州)",1553,,"silver"
"G002+AKS-KHF_13C784D604C8FCB1852X0","林顯周","임현주","전주(全州)",1852,,"plastic"
"G002+AKS-KHF_12C774C9D5FFFFB1527X0","李徵","이징","재령(載寧)",1527,,"silver"
"G002+AKS-KHF_12D64DC7ACFFFFB1707X0","洪梓","홍재","남양(南陽[土])",1707,1781,"silver"
"G002+AKS-KHF_13C870C6B0C12DB1841X0","趙宇燮","조우섭","양주(楊州)",1841,,"silver"
"G002+AKS-KHF_13C724B355C6B0B1725X0","尹德雨","윤덕우","해남(海南)",1725,,"plastic"
"G002+AKS-KHF_13C1A1C815ADDCB1656X0","宋廷奎","송정규","여산(礪山)",1656,1710,"silver"
"G002+AKS-KHF_13C11CC720B7C9B1712X0","徐有良","서유양","대구(大丘)",1712,1771,"silver"
"G002+AKS-KHF_13CD5CC601B8E1B1874X0","崔泳龍","최영용","해주(海州)",1874,,"plastic"
"G002+AKS-KHF_12C774AC01FFFFU9999X0","李殼","이각","한산(韓山)",,,"silver"
"G002+AKS-KHF_13C720D544C778B1529X0","兪必仁","유필인","창원(昌原)",1529,,"silver"
"G002+AKS-KHF_13AE40ACC4D718B1526X0","金繼輝","김계휘","광산(光山)",1526,1582,"silver"
"G002+AKS-KHF_12C720C57DFFFFB1580X0","柳瀹","유약","고흥(高興)",1580,1623,"silver"
"G002+AKS-KHF_12C815C644FFFFB1473X0","鄭浣","정완","영일(迎日)",1473,1521,"silver"
"G002+AKS-KHF_13C784AD11D604B1724X0","任光鉉","임광현","곡성(谷城)",1724,,"plastic"
"G002+AKS-KHF_13C131C790C81CB1515X0","成子濟","성자제","창녕(昌寧)",1515,1573,"silver"
"G002+AKS-KHF_13AE40C601BB35B1826X0","金瑛默","김영묵","연안(延安)",1826,,"plastic"
"G002+AKS-KHF_13AD8CC778C218U9999X0","權仁壽","권인수","안동(安東)",,,"silver"
"G002+AKS-KHF_13AE40C11CC0DDB1546X0","金瑞生","김서생","언양(彦陽)",1546,,"silver"
"G002+AKS-KHF_13C774C6D0C138B1874X0","李元世","이원세","전의(全義)",1874,1932,"silver"
"G002+AKS-KHF_13C548CC98ADFCB1490X0","安處謹","안처근","순흥(順興)",1490,1521,"silver"
"G002+AKS-KHF_12C784C21CFFFFB1692X0","任珣","임순","풍천(豊川)",1692,,"silver"
"G002+AKS-KHF_13C774C6D0C5F0B1763X0","李元延","이원연","연안(延安)",1763,,"silver"
"G002+AKS-KHF_12BC15CD94FFFFB1583X0","朴簉","박추","밀양(密陽)",1583,,"silver"
"G002+AKS-KHF_13C11CADF9CCA0U9999X0","徐克哲","서극철","이천(利川)",,,"plastic"
"G002+AKS-KHF_13AE40AE0DC5F0B1804X0","金肯淵","김긍연","연안(延安)",1804,,"silver"
"G002+AKS-KHF_13AE40C774B85CU9999X0","金尼老","김니노","미상(未詳)",,,"plastic"
"G002+AKS-KHF_13C548BC29ACBDB1513X0","安方慶","안방경","죽산(竹山[舊])",1513,1569,"silver"
"G002+AKS-KHF_13D669B3C4AD49B1629X0","黃道宏","황도굉","창원(昌原)",1629,1663,"silver"
"G002+AKS-KHF_13C774B355C77CB1567X0","李德一","이덕일","부평(富平)",1567,1612,"silver"
"G002+AKS-KHF_12AD8CC218FFFFU9999X1","權洙","권수","안동(安東)",,,"plastic"
"G002+AKS-KHF_12D5C8BA85FFFFB1539X0","許銘","허명","양천(陽川)",1539,,"silver"
"G002+AKS-KHF_13C870C138BCF4U9999X0","趙世輔","조세보","풍양(豊壤)",,,"silver"
"G002+AKS-KHF_13C774C774ACBDB1762X0","李以敬","이이경","광주(廣州)",1762,,"plastic"
"G002+AKS-KHF_13C870C131B9BDB1568X0","趙誠立","조성입","횡성(橫城)",1568,1638,"silver"
"G002+AKS-KHF_13C774C0B0B450B1680X0","李山斗","이산두","전의(全義)",1680,1772,"plastic"
"G002+AKS-KHF_13BC15D0DCD765B1665X0","朴泰興","박태흥","반남(潘南)",1665,,"silver"
"G002+AKS-KHF_13C774C7ACACE4B1859X0","李載崑","이재곤","전주(全州)",1859,1943,"plastic"
"G002+AKS-KHF_13C815C0C1C21CB1723X0","鄭尙淳","정상순","동래(東萊)",1723,1786,"silver"
"G002+AKS-KHF_13C774C758B85CB1867X0","李義魯","이의노","전의(全義)",1867,1901,"silver"
"G002+AKS-KHF_13C815C778D615B1875X0","鄭寅衡","정인형","동래(東萊)",1875,1953,"silver"
"G002+AKS-KHF_13AE40AD50D76CB1781X0","金敎喜","김교희","경주(慶州)",1781,,"silver"
"G002+AKS-KHF_13C870BD09C9C4B1777X0","曺鳳振","조봉진","창녕(昌寧)",1777,1838,"silver"
"G002+AKS-KHF_13C2E0C11DC870B1407X0","辛石堅","신석견","영산(靈山)",,1459,"silver"
"G002+AKS-KHF_12C774D574FFFFB1496X0","李瀣","이해","진성(眞城)",1496,1550,"silver"
"G002+AKS-KHF_13AE40C644C218B1835X0","金完秀","김완수","연안(延安)",1835,,"silver"
"G002+AKS-KHF_13C774BC29C601B1728X0","李邦榮","이방영","전주(全州)",1728,,"plastic"
"G002+AKS-KHF_13BC15B3C4C0C1B1728X0","朴道翔","박도상","밀양(密陽)",1728,,"silver"
"G002+AKS-KHF_13C774C11DB2ECB1603X0","李碩達","이석달","전주(全州)",1603,1639,"silver"
"G002+AKS-KHF_13B0A8AC15B85CB1735X0","南絳老","남강노","의령(宜寧)",1735,,"silver"
"G002+AKS-KHF_13C774C9C4AC80B1671X0","李眞儉","이진검","전주(全州)",1671,1727,"silver"
"G002+AKS-KHF_13AE40C778B3C4B1795X0","金仁燾","김인도","수안(遂安)",1795,,"plastic"
"G002+AKS-KHF_12C774D604FFFFB1573X0","李俔","이현","전주(全州)",1573,,"silver"
"G002+AKS-KHF_13C774BC31CCA8U9999X0","李伯瞻","이백첨","고부(古阜)",,,"silver"
"G002+AKS-KHF_12C774CCADFFFFB1483X0","李淸","이청","한산(韓山)",1483,1549,"silver"
"G002+AKS-KHF_13C870BCC0D765U9999X0","曺變興","조변흥","창녕(昌寧)",,,"silver"
"G002+AKS-KHF_13C870C874B3C4B1579X0","趙存道","조존도","양주(楊州)",1579,1637,"silver"
"G002+AKS-KHF_12AD8CD655FFFFB1568X0","權鑊","권확","안동(安東)",1568,1638,"silver"
"G002+AKS-KHF_13C1A1ADFCC218B1818X0","宋近洙","송근수","은진(恩津)",1818,1903,"silver"
"G002+AKS-KHF_13C870C218B2ECB1668X0","趙壽達","조수달","배천(白川)",1668,,"plastic"
"G002+AKS-KHF_12AE40C790FFFFD1428X0","金赭","김자","언양(彦陽)",,1428,"silver"
"G002+AKS-KHF_13C870BBFCD654B1765X0","趙民和","조민화","풍양(豊壤)",1765,,"silver"
"G002+AKS-KHF_12AD8CCC44FFFFB1399X0","權採","권채","안동(安東)",1399,1438,"silver"
"G002+AKS-KHF_13BC15C885ACBDB1761X0","朴宗京","박종경","반남(潘南)",1761,,"silver"
"G002+AKS-KHF_13D64DC2B9C5B5B1842X0","洪承億","홍승억","풍산(豊山)",1842,,"silver"
"G002+AKS-KHF_13C870C911D544B1843X0","趙重弼","조중필","양주(楊州)",1843,,"silver"
"G002+AKS-KHF_13D64DBA85AD6CB1596X0","洪命耉","홍명구","남양(南陽[唐])",1596,1637,"silver"
"G002+AKS-KHF_13C720BA85ACACB1628X0","柳命堅","유명견","진주(晉州[土])",1628,1707,"silver"
"G002+AKS-KHF_13C1A1CC98AD00B1410X0","宋處寬","송처관","청주(淸州)",1410,1477,"silver"
"G002+AKS-KHF_12C2E0C11DFFFFB1681X0","申晳","신석","평산(平山)",1681,,"silver"
"G002+AKS-KHF_13AE40D64DC218B1681X0","金弘壽","김홍수","선산(善山)",1681,,"silver"
"G002+AKS-KHF_13AE40D55CB85CB1646X0","金漢老","김한노","상산(商山)",1646,1687,"plastic"
"G002+AKS-KHF_12AE40D6A1FFFFB1636X0","金澋","김횡","연안(延安)",1636,,"silver"
"G002+AKS-KHF_13BC15ACBDD6C4B1644X0","朴慶後","박경후","함양(咸陽)",1644,,"silver"
"G002+AKS-KHF_13C774C9C0C815B1588X0","李志定","이지정","여주(驪州)",1588,1650,"silver"
"G002+AKS-KHF_13C2E0C1A1C8FCU9999X0","申松舟","신송주","고령(高靈)",,,"silver"
"G002+AKS-KHF_12C724AE0DFFFFB1432X0","尹兢","윤긍","영천(永川)",,1491,"silver"
"G002+AKS-KHF_12C724AE38FFFFB1564X0","尹","윤길","남원(南原)",1564,,"silver"
"G002+AKS-KHF_13C774B3D9C9C1B1749X0","李東稷","이동직","전주(全州)",1749,,"silver"
"G002+AKS-KHF_13AC15C758BD09B1557X0","康儀鳳","강의봉","상원(祥原)",1557,,"plastic"
"G002+AKS-KHF_13C720D56DC8FCB1730X0","兪恒柱","유항주","기계(杞溪)",1730,,"silver"
"G002+AKS-KHF_12BC15C900FFFFB1672X0","朴㻐","박준","밀양(密陽)",1672,,"silver"
"G002+AKS-KHF_12C774ACBDFFFFB1538X0","李璥","이경","함평(咸平)",1538,1592,"silver"
"G002+AKS-KHF_12C774C790FFFFB1683X0","李滋","이자","한산(韓山)",1683,,"silver"
"G002+AKS-KHF_13AE40C8FCC6B0B1598X0","金柱宇","김주우","안동(安東[舊])",1598,1644,"silver"
