"bid","bpid","affilliation","rank","competitors","exam_type","pass_year","king","lid","previous","exam_class","class_rank","pass_date"
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1843_012648&category=dirSer","G002+AKS-KHF_13C774C7A5BD80B1803X0","문과",22,52,"식년시",1843,"헌종",318,"유학(幼學)","병과(丙科)",12,"1843-07-01"
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1880_014072&category=dirSer","G002+AKS-KHF_13AE40D64DC12DB1860X0","문과",2,5,"정시",1880,"고종",158,"유학(幼學)","을과(乙科)",1,"1880-07-01"
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1843_012665&category=dirSer","G002+AKS-KHF_13C2E0D559C804B1816X0","문과",39,52,"식년시",1843,"헌종",137,"유학(幼學)","병과(丙科)",29,"1843-07-01"
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1843_012666&category=dirSer","G002+AKS-KHF_13BC31C6A9C8FCB1810X0","문과",40,52,"식년시",1843,"헌종",290,"유학(幼學)","병과(丙科)",30,"1843-07-01"
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1843_012668&category=dirSer","G002+AKS-KHF_13AC15C7ACD669B1816X0","문과",42,52,"식년시",1843,"헌종",274,"유학(幼學)","병과(丙科)",32,"1843-07-01"
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1843_012671&category=dirSer","G002+AKS-KHF_13CD5CCE58AD8CB1801X0","문과",45,52,"식년시",1843,"헌종",251,"유학(幼學)","병과(丙科)",35,"1843-07-01"
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1880_014127&category=dirSer","G002+AKS-KHF_13AE40C21CD45CB1847X0","문과",52,72,"증광시",1880,"고종",312,"유학(幼學)","병과(丙科)",42,"1880-07-01"
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1843_012672&category=dirSer","G002+AKS-KHF_13C774AD11C218B1802X0","문과",46,52,"식년시",1843,"헌종",286,"생원(生員)","병과(丙科)",36,"1843-07-01"
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1774_010407&category=dirSer","G002+AKS-KHF_13D55CC0C1C870B1735X0","문과",39,46,"식년시",1774,"영조",96,"유학(幼學)","병과(丙科)",29,"1774-07-01"
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1843_012677&category=dirSer","G002+AKS-KHF_13D604AE30C900B1811X0","문과",51,52,"식년시",1843,"헌종",181,"유학(幼學)","병과(丙科)",41,"1843-07-01"
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1844_012679&category=dirSer","G002+AKS-KHF_13C720C9C4D55CB1798X0","문과",1,39,"증광시",1844,"헌종",149,"진사(進士)","갑과(甲科)",1,"1844-07-01"
