id1,namehg1,namehj1,year,prevdegreehg,prevdegreehj,source,courtesynamehg,courtesynamehj,ancestralseathg,choronymhg,ancestralseathj,choronymhj,addresshg,addresshj,pennamehg,pennamehj,posthumoustitlehg,posthumoustitlehj,error
1,송개신,宋介臣,1393,생원,生員,MTP NL,,,, 송,, 宋,,,,,,,
2,김효원,金孝源,1393,생원,生員,MTPA 191A 4A; PSTP 18-029B,덕분,德芬,김해,김해 김,金海,金海 金,개경,開京,,,,,
3,이담,李擔,1393,생원,生員,"MTPA 066A 1A; PSTP 09-003A; MRCP 1-7A, 1-31B; AKCP 2-6B; CWS 01-325上B; SSW 035",,,경주,경주 이,慶州,慶州 李,개경,開京,,,,,
4,탁함,卓,1393,생원,生員,MTP NL,,,승평,승평 탁,昇平,昇平 卓,,,,,,,
5,윤정,尹定,1393,생원,生員,MTPA 280A 4B; PSTP 23-057A,,,함안,함안 윤,咸安,咸安 尹,경,京,,,,,
6,변계손,卞季孫,1393,생원,生員,MTP NL,,,, 변,, 卞,,,,,,,
7,변처후,邊處厚,1393,생원,生員,MTPB 237A 2D; CWS 04-118下B,덕재,德載,장연,장연 변,長淵,長淵 邊,경,京,"수정(水亭), 수재",水齋,,,
8,신개,申,1393,생원,生員,"MTPB 043B 3B; PSTP 34-001A, 34-005A, 45-076A; MRCP 1-32B; AKCP 2-19B; CWS 04-649上A; SSW 624",자격,子格,평산,평산 신,平山,平山 申,경,京,"인재(寅齋), 양졸당",養拙堂,문희,文僖,
9,홍여강,洪汝剛,1393,생원,生員,MTPS 172B 3DP; MRCP 4-81B; AKCP 1-38A; SSW 423,,,남양,남양 홍,南陽,南陽 洪,경,京,정재,靜齋,,,
10,이숙번,李叔蕃,1393,생원,生員,MTPA 149B 3C; MRCP 2-49B; SSW 123,,,안성,안성 이,安城,安城 李,,,,,,,
11,소호인,蘇好仁,1393,진사,進士,MTP NL,,,진주,진주 소,晋州,晋州 蘇,,,,,,,
12,유흡,柳洽,1393,생원,生員,MTP NC ; SSW 566,,,백천,백천 유,白川,白川 柳,,,,,,,
13,김식,金湜,1393,생원,生員,MTP NL,,,, 김,, 金,,,,,,,
14,서선,徐選,1393,생원,生員,MTPB 169A 2C; CWS 03-465下A,대숙,大淑,이천,이천 서,利川,利川 徐,여주,驪州,해화당,海華堂,공도,恭度,
15,김효손,金孝孫,1393,생원,生員,"MTP NL ; MRCP 4-15A; SSW 043, 259",,,의성,의성 김,義城,義城 金,,,,,,,
16,이초,李椒,1393,생원,生員,MTP NL,,,광산,광산 이,光山,光山 李,광주,光州,,,,,
17,한겸,韓兼,1393,생원,生員,"MTPB 102A 4C; PSTP 31-076A; SSW 223, 492",,,평산,평산 한,平山,平山 韓,상주,尙州,,,,,
18,송호,宋瑚,1393,생원,生員,MTP NC ; SSW 364,,,인의,인의 송,仁義,仁義 宋,,墓在 利川,,,,,
19,유의,柳儀,1393,생원,生員,MTPB 022B 2BP; SSW 563,,,고흥,고흥 유,高興,高興 柳,,,,,,,
20,나득경,羅得卿,1393,생원,生員,MTP NL,,,나주,나주 나,羅州,羅州 羅,,,,,,,
21,최예,崔汭,1393,생원,生員,MTPB 001B 2D,,,경주,경주 최,慶州,慶州 崔,,,,,,,
22,민안,閔顔,1393,생원,生員,MTP NL,,,여흥,여흥 민,驪興,驪興 閔,,,,,,,
23,박조,朴,1393,생원,生員,MTP NL,,,, 박,, 朴,,,,,,,
24,한련,韓璉,1393,생원,生員,MTP NL,,,, 한,, 韓,,,,,,,
25,황현,黃鉉,1393,생원,生員,MTPS 234B 3C; PSTP 41-057B; SSW 659,,,평해,평해 황,平海,平海 黃,영천,榮川,,,,,
26,이중명,李仲明,1393,생원,生員,MTP NL,,,, 이,, 李,,,,,,,
27,김자린,金自麟,1393,전별장,前別將,MTP NL ; PSTP 16-001B,,,광산,광산 김,光山,光山 金,광주,光州,,,,,
28,이관,李灌,1393,생원,生員,MTPS 040B 3AP; AKCP 3-52A,,,인천,인천 이,仁川,仁川 李,,,,,,,
29,오상명,吳尙明,1393,생원,生員,MTP NL,,,, 오,, 吳,,,,,,,
30,유사눌,柳思訥,1393,생원,生員,MTPB 009B 4B; PSTP 28-003A; MRCP 1-10B; CWS 04-295上B; SSW 548,이행,而行,문화,문화 유,文化,文化 柳,,,,,문숙,文肅,
31,문가용,文可容,1393,생원,生員,MTP NL,,,남평,남평 문,南平,南平 文,단양,丹陽,,,,,
32,민린생,閔麟生,1393,생원,生員,"MTPB 142A 4DP; PSTP 43-001A; MRCP 1-13A, 1-29B; AKCP 1-40B, 3-9B; SSW 475",,,여흥,여흥 민,驪興,驪興 閔,,,,,,,
33,배둔,裵屯,1393,생원,生員,MTPB 234A 4D,,,흥해,흥해 배,興海,興海 裵,,,,,,,
34,김익정,金益精,1396,생원,生員,MTPA 165A 2C; PSTP 15-004B; MRCP 4-56A; AKCP 1-15B; CWS 03-665上B; SSW 204,자비,子斐,안동,안동 김,安東,安東 金,안동,安東,운암,雲菴,,,
35,이종화,李種華,1396,진사,進士,MTP NC,,,장수,장수 이,長水,長水 李,용인,龍仁,,,,,
36,최순,崔洵,1396,생원,生員,MTPB 009A 4A,,,충주,충주 최,忠州,忠州 崔,충주,忠州,,,,,
37,이명덕,李明德,1396,생원,生員,"MTPA 149B 1A; PSTP 14-042A, 42-043A; CWS 04-576上B",신지,新之,공주,공주 이,公州,公州 李,,,사봉,沙峯,공숙,恭肅,
38,금유,琴柔,1396,유학,幼學,MTPS 313A 4A; SSW 776,,,봉화,봉화 금,奉化,奉化 琴,고령,高靈,,,,,
39,하연,河演,1396,생원,生員,MTPB 244A 1D; PSTP 13-086B; AKCP 3-26B; CWS 06-610下B; SSW 664,연량,淵亮,진주,진주 하,晋州,晋州 河,경,京,경재,"敬齋, 警齋 또는 擎齋라고 한데도 있다.",문효,文孝,
40,조유인,曹由仁,1396,생원,生員,MTPB 214B 1D,,,남평,남평 조,南平,南平 曹,,,,,,,
41,은여림,殷汝霖,1396,생원,生員,MTP NC,백우,伯雨,태인,태인 은,泰仁,泰仁 殷,,,,,,,
42,곽존중,郭存中,1396,생원,生員,MTP NL,경발,儆發,청주,청주 곽,淸州,淸州 郭,청주,淸州,퇴천,退川,,,
43,김섭,金涉,1396,생원,生員,MTPA 183A 3B; MRCP 1-12A; SSW 260,,,의성,의성 김,義城,義城 金,부여,扶餘,소정,疎亭,,,
44,한이,韓彛,1396,생원,生員,MTP NC ; PSTP 31-078B,,,보안,보안 한,保安,保安 韓,영광,靈光,,,,,
45,윤상,尹祥,1396,생원,生員,MTPA 281B 4D; CWS 07-019下A; SSW 448,실부,實夫,예천,예천 윤,醴泉,醴泉 尹,예천,醴泉,별동,別洞,,,
46,한고,韓皐,1396,협률랑,協律郞,MTPB 102B 4C; SSW 491,,,한양,한양 한,漢陽,漢陽 韓,,,,,,,
47,유의,柳,1396,내시직장,內侍直長,"MTPB 010A 2B; PSTP 28-025B; MRCP 1-28A, 1-40B; AKCP 1-23B; SSW 551",,,문화,문화 유,文化,文化 柳,,,,,,,
48,심도원,沈道源,1396,생원,生員,MTPB 130B 4C; PSTP 35-084B; CWS 04-240下A; SSW 678,,,부유,부유 심,富有,富有 沈,,,,,경숙,敬肅,
49,이경생,李敬生,1396,생원,生員,MTP NL ; SSW 273,,,, 이,, 李,,,,,,,
50,정조,鄭,1396,생원,生員,MTP NL,,,, 정,, 鄭,,,,,,,
51,김겸,金謙,1396,생원,生員,MTPS 059A 3C; MRCP 1-24A; CWS 02-708下A; SSW 186,익보,益甫,경주,경주 김,慶州,慶州 金,,,,,평후,平厚,
52,정지,鄭,1396,생원,生員,MTP NL,,,, 정,, 鄭,,,,,,,
53,유순도,庾順道,1396,생원,生員,MTPS 312B 3AP; PSTP 46-062B; MRCP 1-37A; SSW 781,,,무송,무송 유,茂松,茂松 庾,무장,茂長,학봉,學峯,,,
54,서륜,徐倫,1396,생원,生員,MTPB 170A 1AQ,,,이천,이천 서,利川,利川 徐,,,,,,,
55,김종리,金從理,1396,생원,生員,MTPA 187B 1D; SSW 247,,,선산,선산 김,善山,善山 金,,,,,,,
56,노이,盧異,1396,생원,生員,MTP NL,,,, 노,, 盧,,,,,,,
57,이종,李從,1396,생원,生員,MTPA 065B 4A; SSW 033,사의,事疑,경주,경주 이,慶州,慶州 李,상주(尙州),墓在 尙州,,,,,
58,정여,鄭餘,1396,생원,生員,MTP NL,,,, 정,, 鄭,,,,,,,
59,김재사,金再思,1396,생원,生員,MTP NL,,,, 김,, 金,,,,,,,
60,정재,鄭載,1396,생원,生員,MTP NL,,,, 정,, 鄭,,,,,,,
61,한승안,韓承顔,1396,생원,生員,MTPB 093B 2A; PSTP 21-007B; CWS 02-466上A; SSW 481,,,청주,청주 한,淸州,淸州 韓,경,京,,,,,
62,유몽,柳蒙,1396,생원,生員,MTP NC ; AKCP 3-63A; SSW 566,,,백천,백천 유,白川,白川 柳,,,,,,,
63,곽덕연,郭德淵,1396,생원,生員,MTP NL ; AKCP 3-33A; SSW 619,,,현풍,현풍 곽,玄風,玄風 郭,,,,,,,
64,민의생,閔義生,1396,생원,生員,"MTPB 142A 4D; PSTP 12-007A, 43-001A; MRCP 1-13A; AKCP 3-10A; CWS 04-555下A; SSW 475",의지,宜之,여흥,여흥 민,驪興,驪興 閔,,,,,위숙,魏肅,
65,윤발,尹發,1396,생원,生員,MTP NL ; PSTP 22-002B,,,파평,파평 윤,坡平,坡平 尹,,,,,,,
66,조중림,曺仲林,1396,생원,生員,MTPB 212A 1AP; AKCP 3-59B; SSW 669,,,창녕,창녕 조,昌寧,昌寧 曺,,,,,,,
67,전가식,田可植,1399,생원,生員,MTP NL ; PSTP 46-044A,,,담양,담양 전,潭陽,潭陽 田,선산,善山,,,,,
68,김반,金泮,1399,생원,生員,MTP NL,사원,詞源,강서,강서 김,江西,江西 金,강서,江西,송정,松亭,,,
69,유박,柳博,1399,생원,生員,MTPB 009B 4C; PSTP 28-015A; MRCP 1-25A; SSW 553,,,문화,문화 유,文化,文化 柳,,,,,,,
70,최진성,崔進誠,1399,생원,生員,MTPB 004A 3AP; SSW 576,,,전주,전주 최,全州,全州 崔,전주,全州,,,,,
71,김렴,金濂,1399,생원,生員,MTP NC,,,영흥,영흥 김,永興,永興 金,영흥,永興,,,,,
72,박광선,朴光先,1399,생원,生員,MTP NC ; SSW 169,,,춘천,춘천 박,春川,春川 朴,함흥,咸興,,,,,
73,김구연,金九淵,1399,생원,生員,MTP NL,,,, 김,, 金,,,,,,,
74,박안신,朴安信,1399,생원,生員,MTPA 226A 4AP; CWS 05-043上A; SSW 152,백충,伯忠,상주,상주 박,尙州,尙州 朴,,,,,정숙,貞肅,
75,오선경,吳先敬,1399,생원,生員,MTPS 190B 2AP; PSTP 45-026A,직부,直夫,해주,해주 오,海州,海州 吳,,,,,,,
76,김복항,金復恒,1399,생원,生員,MTPA 194B 3B; MRCP 4-44B; AKCP 1-9A; KHP 0781; SSW 226,,,상주,상주 김,尙州,尙州 金,상주,尙州,,,,,
77,이양부,李陽敷,1399,생원,生員,MTP NL,,,영흥,영흥 이,永興,永興 李,영흥,永興,,,,,
78,유익지,柳翼之,1399,진사,進士,MTP NL,,,전주,전주 유,全州,全州 柳,,,,,,,
79,조서,趙,1399,생원,生員,MTPB 078B 3BP; MRCP 1-36A; AKCP 2-54B; CWS 03-210上B,,,한양,한양 조,漢陽,漢陽 趙,영흥,永興,,,안정,安靖,
80,김훈,金訓,1399,생원,生員,MTPA 196A 2C,,,영동,영동 김,永同,永同 金,영동,永同,,,,,
81,유미,柳渼,1399,산원,散員,MTPB 022A 3A,,,서산,서산 유,瑞山,瑞山 柳,,,,,성산군,星山君,
82,정안지,鄭安止,1399,태묘서승,太廟署丞,MTP NL ; MRCP 1-25B; AKCP 3-35A,,,예천,예천 정,醴泉,醴泉 鄭,,,,,,,
83,이공의,李公義,1399,생원,生員,MTPS 047B 3AP,,,단양,단양 이,丹陽,丹陽 李,,,,,,,
84,조회,曺繪,1399,생원,生員,MTPB 212A 1A,,,창녕,창녕 조,昌寧,昌寧 曺,,,,,,,
85,유장,柳暲,1399,생원,生員,"MTPB 010A 2BP; PSTP 21-051B, 28-026A; MRCP 1-40B",인수,仁壽,문화,문화 유,文化,文化 柳,,墓在 高陽,,,,,
86,문수성,文守成,1399,생원,生員,MTP NL,,,, 문,, 文,,,,,,,
87,옥고,玉沽,1399,생원,生員,MTP NC,대수,待,의녕,의녕 옥,宜寧,宜寧 玉,군위,軍威,응계,凝溪,,,
88,유이,柳荑,1399,생원,生員,MTPB 009B 4B; PSTP 28-002B; MRCP 1-8B,,,문화,문화 유,文化,文化 柳,서산,瑞山,취헌,醉軒,,,
89,홍석주,洪錫疇,1399,생원,生員,MTP NL,,,남양,남양 홍,南陽,南陽 洪,경,京,,,,,
90,최득평,崔得平,1399,유학,幼學,MTP NL,,,전주,전주 최,全州,全州 崔,,,,,,,
91,손증,孫曾,1399,생원,生員,MTP NL,,,, 손,, 孫,,,,,,,
92,전예,田藝,1399,향공학생,鄕貢學生,MTPS 300B 1D; PSTP 46-041B,,,담양,담양 전,潭陽,潭陽 田,,,죽당,竹堂,,,
93,조현수,趙玄璲,1399,유학,幼學,MTP NC,,,남해,남해 조,南海,南海 趙,,,,,,,
94,이안직,李安直,1399,생원,生員,MTPA 148A 2C; PSTP 28-016A; MRCP 1-25A,,,영천,영천 이,永川,永川 李,,,,,,,
95,황보규,皇甫規,1399,생원,生員,MTP NL ; PSTP 46-066A,,,영천,영천 황,永川,永川 皇,,,,,,,
96,원소,元素,1399,생원,生員,MTPB 202A 4DP; PSTP 37-043A,,,원주,원주 원,原州,原州 元,,,,,,,
97,한집,韓緝,1399,진사,進士,MTP NC ; PSTP 31-078B,,,양주,양주 한,楊州,楊州 韓,,,,,,,
98,박윤영,朴允英,1399,생원,生員,MTP NL,,,, 박,, 朴,,,,,,,
99,유종규,柳宗揆,1399,생원,生員,MTP NC,,,연안,연안 유,延安,延安 柳,,,,,,,
100,조말생,趙末生,1401,생원,生員,MTPB 078B 4D; PSTP 24-047B; CWS 05-017上B,평중,平仲,양주,양주 조,楊州,楊州 趙,,,사곡,社谷,문강,文剛,
101,이적,李,1401,생원,生員,MTPA 119A 2B,,,여주,여주 이,驪州,驪州 李,경,京,,,,,
102,윤회,尹淮,1401,생원,生員,MTPA 281A 3C; PSTP 23-048A; AKCP 3-39B; CWSR 0439; CWS 03-667下B; SSW 435,청경,淸卿,무송,무송 윤,茂松,茂松 尹,,墓在 豊德,청향당,淸香堂,문도,文度,
103,박희종,朴熙宗,1401,생원,生員,MTP NC,자인,子仁,구진,구진 박,丘珍,丘珍 朴,서원,瑞原,위남,葦南,,,
104,오점,吳點,1401,생원,生員,MTPB 108B 3A,,,보성,보성 오,寶城,寶城 吳,공주,公州,,,,,
105,박서생,朴瑞生,1401,진사,進士,MTPA 227B 2C,영가,寧可,비안,비안 박,比安,比安 朴,선산,善山,표정,票亭,,,
106,홍여방,洪汝方,1401,생원,生員,MTPB 033B 2D; PSTP 19-005B; MRCP 1-39A; CWS 04-167下B,자원,子圓,남양,남양 홍,南陽,南陽 洪,개성,開城,연주정,戀主亭,문량,文良,
107,김타,金,1401,생원,生員,MTPS 051A 3BP,,,경주,경주 김,慶州,慶州 金,,,,,,,
108,배환,裵桓,1401,생원,生員,"MTPB 234A 4D; MRCP 2-6B; AKCP 3-56B, 3-65A",,,흥해,흥해 배,興海,興海 裵,,,,,,,
109,유맹문,柳孟聞,1401,생원,生員,"MTPB 009B 4B; PSTP 28-004A; MRCP 1-10B, 1-18A; SSW 548",,,문화,문화 유,文化,文化 柳,경,京,,,,,
110,양권,梁權,1401,녹사,錄事,MTPB 221B 2D; PSTP 45-056A,,,남원,남원 양,南原,南原 梁,,,,,,,
111,한목,韓牧,1401,생원,生員,MTP NL,,,, 한,, 韓,,,,,,,
112,조수,趙須,1401,생원,生員,MTPB 082B 4AP,형부,亨父,평양,평양 조,平壤,平壤 趙,경,京,송월당,松月堂,,,
113,성부석,成敷錫,1401,생원,生員,MTP NL,,,창녕,창녕 성,昌寧,昌寧 成,,,,,,,
114,장진,張晋,1401,생원,生員,MTP NL ; MRCP 1-22A,,,결성,결성 장,結城,結城 張,영천,永川,삼옥당,三玉堂,,,
115,김자온,金自溫,1401,생원,生員,MTP NL ; PSTP 16-027B,,,경주,경주 김,慶州,慶州 金,음성,陰城,,,,,
116,정윤로,鄭允老,1401,생원,生員,MTP NL,,,동래,동래 정,東萊,東萊 鄭,,,,,,,
117,주을서,周乙序,1401,생원,生員,MTP NL,,,, 주,, 周,,,,,,,
118,김찬,金瓚,1401,생원,生員,MTP NL,,,영광,영광 김,靈光,靈光 金,,,,,,,
119,원숙,元肅,1401,생원,生員,MTP NL,,,원주,원주 원,原州,原州 元,,,,,,,
120,유사근,柳士根,1401,생원,生員,MTPB 009B 4C; PSTP 28-015B; MRCP 1-25A,,,문화,문화 유,文化,文化 柳,,墓在 陰城,,,,,
121,정종본,鄭宗本,1401,생원,生員,"MTPA 243A 3D; PSTP 09-006B, 21-006A",,,연일,연일 정,延日,延日 鄭,,,,,,,
122,김소,金遡,1401,생원,生員,MTP NL ; PSTP 16-024B,원지,原之,광산,광산 김,光山,光山 金,경,京,,,,,
123,김구,金矩,1401,진사,進士,MTP NL,,,, 김,, 金,,,,,,,
124,정주,鄭疇,1401,생원,生員,MTP NL,,,, 정,, 鄭,,,,,,,
125,배금,裵錦,1401,생원,生員,MTP NL,,,, 배,, 裵,,,,,,,
126,김위민,金爲民,1401,생원,生員,MTPS 052B 3AQ,,,경주,경주 김,慶州,慶州 金,,,,,,,
127,서진,徐晋,1401,생원,生員,MTPB 169A 2D,회지,晦之,이천,이천 서,利川,利川 徐,,,,,,,
128,조종생,趙從生,1401,신방생원,新榜生員,"MTPB 078B 4D; PSTP 24-049A, 31-004A; MRCP 4-58A; AKCP 1-17A; CWSR 0555; CWS 03-671下B",,,양주,양주 조,楊州,楊州 趙,,,,,,,
129,이도,李韜,1401,생원,生員,MTPA 142B 1A; MRCP 1-25B; AKCP 3-35B; SSW 113,,,예안,예안 이,禮安,禮安 李,,,,,,,
130,윤상은,尹尙殷,1401,유학,幼學,MTPA 256A 1B; PSTP 22-018A,,,파평,파평 윤,坡平,坡平 尹,금산,錦山,,,,,
131,김유보,金兪甫,1401,생원,生員,MTP NL,,,광산,광산 김,光山,光山 金,은진,恩津,,,,,
132,노혁,盧革,1401,생원,生員,MTP NC,,,만경,만경 노,萬頃,萬頃 盧,,,,,,,
133,신효,申曉,1402,생원,生員,MTPB 043B 3B; PSTP 34-027A; MRCP 1-43A,,,평산,평산 신,平山,平山 申,경,京,"서호산인(西湖山人), 효창",曉窓,,,
134,하담,河澹,1402,생원,生員,MTPB 244B 2CQ,,,진주,진주 하,晋州,晋州 河,선산,善山,,,,,
135,민무회,閔無悔,1402,생원,生員,"MTPB 142B 1D; PSTP 15-007B, 30-005A; MRCP 1-7A, 4-38A; AKCP 3-20A",,,여흥,여흥 민,驪興,驪興 閔,,,,,,,
136,진준,陳遵,1402,생원,生員,MTP NL,술고,述古,나주,나주 진,羅州,羅州 陳,나주,羅州,묵헌,默軒,,,
137,정환,鄭還,1402,생원,生員,MTP NC,,,, 정,, 鄭,,,,,,,
138,권선,權繕,1402,전중직장,殿中直長,MTPB 054B 2AP; PSTP 30-002A; MRCP 1-32B; AKCP 2-20A,,,안동,안동 권,安東,安東 權,,,,,,,
139,김최,金最,1402,생원,生員,MTP NL ; CWS 03-407上B,,,, 김,, 金,,,,,,,
140,최사유,崔士柔,1402,생원,生員,"MTPB 006A 2D; PSTP 39-079B, 39-080A",휘지,徽之,삭녕,삭녕 최,朔寧,朔寧 崔,경,京,,,,,
141,주황,周晃,1402,생원,生員,MTPS 315A 3A,,,철원,철원 주,鐵原,鐵原 周,영광,靈光,,,,,
142,정주,鄭,1402,생원,生員,MTPA 228B 1C; PSTP 19-006B; SSW 319,,,동래,동래 정,東萊,東萊 鄭,,,,,,,
143,양사적,梁思,1402,생원,生員,MTPS 247A 1D,,,남원,남원 양,南原,南原 梁,공주,公州,,,,,
144,윤거,尹擧,1402,생원,生員,MTP NL,중보,重步,파평,파평 윤,坡平,坡平 尹,숙천,肅川,,,,,
145,정회,鄭繪,1402,생원,生員,MTP NL,,,, 정,, 鄭,,,,,,,
146,신장,申檣,1402,생원,生員,MTPB 050B 3B; PSTP 34-093A; CWS 03-442上B; SSW 627,제부,濟夫,고령,고령 신,高靈,高靈 申,남원,南原,암헌,巖軒,,,
147,김녕,金寧,1402,생원,生員,MTP NL,,,경주,경주 김,慶州,慶州 金,,,,,,,
148,권약,權約,1402,생원,生員,MTPB 054A 3AP; AKCP 1-7B,,,안동,안동 권,安東,安東 權,,,,,,,
149,이줄,李茁,1402,생원,生員,MTP NL ; CWSR 0287,,,고성,고성 이,固城,固城 李,,,,,,,
150,문헌,文獻,1402,생원,生員,MTP NL,,,감천,감천 문,甘泉,甘泉 文,,,,,,,
151,박효제,朴孝悌,1402,생원,生員,MTP NL,,,함양,함양 박,咸陽,咸陽 朴,,,,,,,
152,조상,曺尙,1402,생원,生員,MTPB 211B 1DP; AKCP 1-10B,,,창녕,창녕 조,昌寧,昌寧 曺,,,,,,,
153,송포,宋褒,1402,생원,生員,MTP NC,,,김해,김해 송,金海,金海 宋,김해,金海,,,,,
154,김피,金彼,1402,신방생원,新榜生員,MTP NL,,,의성,의성 김,義城,義城 金,김해,金海,,,,,
155,서생,徐省,1402,생원,生員,MTP NL ; MRCP 1-18A,,,, 서,, 徐,,,,,,,
156,김지효,金知孝,1402,생원,生員,MTP NL ; MRCP 1-15A,,,, 김,, 金,,,,,,,
157,김효정,金孝貞,1402,생원,生員,"MTPA 187A 2B; PSTP 18-055A, 30-043B; AKCP 3-56A; CWSR 1747",경부,敬夫,선산,선산 김,善山,善山 金,상주(尙州),墓在 尙州,주촌,注村,문정,文靖,
158,송복,宋復,1402,생원,生員,MTPB 180B 1AP,,,여산,여산 송,礪山,礪山 宋,,,,,,,
159,고몽현,高夢賢,1402,진사,進士,MTP NL,,,제주,제주 고,濟州,濟州 高,,,,,,,
160,김심,金,1402,생원,生員,MTP NL,,,, 김,, 金,,,,,,,
161,김지형,金知逈,1402,생원,生員,MTP NL,,,, 김,, 金,,,,,,,
162,허성,許誠,1402,생원,生員,"MTPB 140A 1AP; PSTP 12-014A, 40-028A, 40-052A; MRCP 3-94A, 5-25B; AKCP 2-2A",맹명,孟明,하양(河陽),하양(河陽) 허,豊德,豊德 許,,,신암,愼菴,공간,恭簡,
163,김극유,金克柔,1402,유학,幼學,MTP NL,,,해평,해평 김,海平,海平 金,선산,善山,,,,,
164,조종례,趙從禮,1402,생원,生員,MTPB 091A 3C; PSTP 25-096A,,,함안,함안 조,咸安,咸安 趙,남원,南原,율정,栗亭,,,
165,배한,裵澣,1402,생원,生員,MTP NL,,,, 배,, 裵,,,,,,,
166,유면,兪勉,1405,생원,生員,MTP NL,,,인동,인동 유,仁同,仁同 兪,선산,善山,,,,,
167,정초,鄭招,1405,생원,生員,"MTPA 250A 4A; MRCP 1-12A, 2-29B; CWS 03-569下A",열지,悅之,하동,하동 정,河東,河東 鄭,경,京,,,문경,文景,
168,정지당,鄭之唐,1405,주부,主簿,MTPA 251A 2D,,,광주,광주 정,光州,光州 鄭,경(京),墓在 楊州,,,,,
169,김상직,金尙直,1405,생원,生員,MTPA 194B 4B; AKCP 1-10B; MRCP 4-46B,,,상주,상주 김,尙州,尙州 金,,,,,,,
170,조서로,趙瑞老,1405,생원,生員,MTPB 089B 4C; PSTP 25-097B; MRCP 2-46A; AKCP 1-22B; SSW 308,,,백천,백천 조,白川,白川 趙,경(京),墓在 開豊,,,,,
171,이긍,李兢,1405,생원,生員,MTPA 124A 1C; CWS 03-470上B; SSW 134,,,함평,함평 이,咸平,咸平 李,영광,靈光,,,,,
172,송을개,宋乙開,1405,생원,生員,MTPB 180A 3DP; MRCP 6-20B; AKCP 2-49A,,,여산,여산 송,礪山,礪山 宋,,,,,,,
173,양여공,梁汝恭,1405,생원,生員,"MTPB 222A 2A; PSTP 45-064A, 45-065A",경지,敬之,충주,충주 양,忠州,忠州 梁,,,유정,柳亭,,,
174,이안유,李安柔,1405,경승부승,敬承府丞,MTPA 148A 2C,이립,而立,영천,영천 이,永川,永川 李,,,서파,西坡,,,
175,박기,朴,1405,생원,生員,MTP NL ; AKCP 3-58B,,,, 박,, 朴,,,,,,,
176,김극신,金克信,1405,생원,生員,MTP NC,,,장성,장성 김,長城,長城 金,,,,,,,
177,채지지,蔡知止,1405,생원,生員,MTP NL,,,평강,평강 채,平康,平康 蔡,,,,,,,
178,최종해,崔宗海,1405,생원,生員,MTP NL,,,전주,전주 최,全州,全州 崔,,,,,,,
179,유상지,兪尙智,1405,생원,生員,MTPB 201B 2A; PSTP 39-033A,,,창원,창원 유,昌原,昌原 兪,수원,水原,,,,,
180,박의,朴誼,1405,생원,生員,MTP NL,,,, 박,, 朴,,,,,,,
181,박식,朴式,1405,생원,生員,MTP NL,,,, 박,, 朴,,,,,,,
182,최민,崔岷,1405,생원,生員,MTP NL,,,삭녕,삭녕 최,朔寧,朔寧 崔,,,,,,,
183,조숭덕,曹崇德,1405,생원,生員,MTP NL ; CWS 02-688上B,,,, 조,, 曹,,,,,,,
184,권희,權熙,1405,생원,生員,MTPB 054A 4CP,,,안동,안동 권,安東,安東 權,순흥,順興,,,,,
185,주명신,周命新,1405,생원,生員,MTP NL,,,, 주,, 周,,,,,,,
186,유구사,柳九思,1405,생원,生員,MTP NL,,,, 유,, 柳,,,,,,,
187,송치,宋,1405,생원,生員,MTPB 180A 3D,,,진천,진천 송,鎭川,鎭川 宋,진천,鎭川,,,,,
188,김종서,金宗瑞,1405,생원,生員,MTPA 194A 2D; PSTP 22-003A,국경,國卿,순천,순천 김,順天,順天 金,경(京),墓在 公州,절재,節齋,충익,忠翼,
189,차유,車有,1405,생원,生員,MTP NL,,,연안,연안 차,延安,延安 車,,,,,,,
190,양질,楊秩,1405,생원,生員,MTP NL,,,, 양,, 楊,,,,,,,
191,신도,申圖,1405,생원,生員,MTP NL,,,, 신,, 申,,,,,,,
192,이성,李誠,1405,생원,生員,MTP NL,,,, 이,, 李,,,,,,,
193,이뢰,李賴,1405,신방생원,新榜生員,MTP NL ; AKCP 3-55B,,,, 이,, 李,,,,,,,
194,김상,金尙,1405,생원,生員,MTP NC,,,삼척,삼척 김,三陟,三陟 金,,,,,,,
195,원황,元晃,1405,생원,生員,"MTPB 202B 1A; PSTP 37-043B; SSW 638, 639, 640",,,원주,원주 원,原州,原州 元,,墓在 橫城葛豊,,,,,
196,박거선,朴居善,1405,생원,生員,MTP NL,,,, 박,, 朴,,,,,,,
197,김구경,金九,1405,생원,生員,MTP NL,,,광산,광산 김,光山,光山 金,광주,光州,,,,,
198,최덕지,崔德之,1405,생원,生員,MTPB 002A 1C,가구,可久,전주,전주 최,全州,全州 崔,전주,全州,"연촌(烟村), 존양당",存養堂,문숙,文肅,
199,어변갑,魚變甲,1408,생원,生員,MTPB 226B 3C; PSTP 44-001A; MRCP 3-83AP,자선,子先,함종,함종 어,咸從,咸從 魚,창녕(昌寧),墓在 咸安,면곡,綿谷,문효,文孝,
200,김장,金,1408,생원,生員,MTP NL ; AKCP 2-19B,,,, 김,, 金,,,,,,,
201,김익렴,金益廉,1408,생원,生員,MTPA 165A 2C; PSTP 15-005A,,,안동,안동 김,安東,安東 金,전의,全義,,,,,
202,김원로,金元老,1408,생원,生員,MTP NL,,,선산,선산 김,善山,善山 金,장흥,長興,,,,,
