id1,namehg1,namehj1,year,prevdegreehg,prevdegreehj,source,courtesynamehg,courtesynamehj,ancestralseathg,choronymhg,ancestralseathj,choronymhj,addresshg,addresshj,pennamehg,pennamehj,posthumoustitlehg,posthumoustitlehj,error
13427,김영덕,金永悳,1877,유학,幼學,MTPA 163B 4C; PSTP 16-015A,수경,壽卿,광산,광산 김,光山,光山 金,경,京,,,,,
13428,조병익,趙秉翊,1877,유학,幼學,MTPB 073A 1C; PSTP 24-034B,성건,聖建,풍양,풍양 조,豊壤,豊壤 趙,경,京,,,,,
13429,엄주영,嚴胄永,1877,진사,進士,MTPB 241B 1A,여교,汝敎,영월,영월 엄,寧越,寧越 嚴,경,京,,,,,
13430,민영익,閔泳翊,1877,유학,幼學,MTPB 146B 3D; PSTP 43-024B,자상,子相,여흥,여흥 민,驪興,驪興 閔,경,京,예미,藝楣,,,
13431,김수형,金秀馨,1877,유학,幼學,MTP NL,,,청도,청도 김,淸道,淸道 金,무장,茂長,,,,,
13432,김천수,金天洙,1877,진사,進士,MTPA 163A 2D; PSTP 16-012A,성언,聖言,광산,광산 김,光山,光山 金,경,京,,,,,
13433,이재윤,李載允,1877,생원,生員,MTPA 063A 2B,,,전주,전주 이,全州,全州 李,경,京,성집,聖執,,,
13434,오영탁,吳濚鐸,1877,유학,幼學,MTP NL,,,동복,동복 오,同福,同福 吳,경,京,,,,,
13435,이재명,李在明,1877,유학,幼學,MTP NL,,,우계,우계 이,羽溪,羽溪 李,경,京,,,,,
13436,노영경,盧泳敬,1877,유학,幼學,MTPB 225B 3A,,,광주,광주 노,光州,光州 盧,상주,尙州,,,,,
13437,서정훈,徐鼎勳,1877,유학,幼學,MTPB 168B 4A,,,부여,부여 서,扶餘,扶餘 徐,양주,楊州,,,,,
13438,조재순,趙在淳,1877,전현령,前縣令,MTPB 081A 3C,,,양주,양주 조,楊州,楊州 趙,경,京,,,,,
13439,한재현,韓在絢,1877,생원,生員,MTPB 099B 4D,,,청주,청주 한,淸州,淸州 韓,경,京,화수,華受,,,
